,day,temperature,cloud_cover,precipitation
0,2018-01-01,12.86,32.14,0.0
1,2018-01-02,15.06,28.94,0.0
2,2018-01-03,16.69,28.5,0.0
3,2018-01-04,15.5,30.25,0.0
4,2018-01-05,16.5,31.75,0.0
5,2018-01-06,16.75,27.56,0.0
6,2018-01-07,13.62,27.5,0.0
7,2018-01-08,16.94,22.24,0.13
8,2018-01-09,13.26,16.6,1.8
9,2018-01-10,10.5,33.25,0.0
10,2018-01-11,11.81,33.5,0.0
11,2018-01-12,14.69,32.75,0.0
12,2018-01-13,15.94,32.5,0.0
13,2018-01-14,16.5,31.0,0.0
14,2018-01-15,14.94,32.75,0.0
15,2018-01-16,14.62,32.25,0.0
16,2018-01-17,15.94,32.38,0.0
17,2018-01-18,17.0,33.5,0.0
18,2018-01-19,14.05,24.45,0.0
19,2018-01-20,11.75,30.19,0.0
20,2018-01-21,9.18,33.24,0.0
21,2018-01-22,10.81,32.38,0.0
22,2018-01-23,11.94,33.5,0.0
23,2018-01-24,13.94,33.25,0.0
24,2018-01-25,10.89,29.78,0.0
25,2018-01-26,11.31,32.5,0.0
26,2018-01-27,12.44,33.25,0.0
27,2018-01-28,21.94,33.29,0.0
28,2018-01-29,23.06,32.75,0.0
29,2018-01-30,19.44,30.81,0.0
30,2018-01-31,16.75,33.5,0.0
31,2018-02-01,17.32,33.37,0.0
32,2018-02-02,17.69,33.5,0.0
33,2018-02-03,16.94,33.0,0.0
34,2018-02-04,17.44,33.5,0.0
35,2018-02-05,16.69,33.25,0.0
36,2018-02-06,13.9,23.43,0.0
37,2018-02-07,16.19,33.5,0.0
38,2018-02-08,17.38,33.5,0.0
39,2018-02-09,16.44,33.5,0.0
40,2018-02-10,13.1,26.75,0.0
41,2018-02-11,14.06,31.72,0.0
42,2018-02-12,13.0,29.0,0.0
43,2018-02-13,11.62,29.19,0.02
44,2018-02-14,13.81,25.19,0.0
45,2018-02-15,14.38,31.5,0.0
46,2018-02-16,14.88,33.25,0.0
47,2018-02-17,13.94,33.5,0.0
48,2018-02-18,12.56,33.5,0.0
49,2018-02-19,10.67,29.61,0.0
50,2018-02-20,7.94,32.25,0.0
51,2018-02-21,9.12,30.88,0.0
52,2018-02-22,8.0,31.75,0.0
53,2018-02-23,8.5,31.39,0.0
54,2018-02-24,8.35,32.59,0.0
55,2018-02-25,10.5,33.5,0.0
56,2018-02-26,11.5,33.33,0.0
57,2018-02-27,8.33,28.06,0.15
58,2018-02-28,7.81,33.31,0.0
59,2018-03-01,9.94,30.69,0.0
60,2018-03-02,10.33,13.53,0.25
61,2018-03-03,11.33,21.61,0.23
62,2018-03-04,8.94,32.81,0.0
63,2018-03-05,11.38,32.06,0.0
64,2018-03-06,14.56,31.25,0.0
65,2018-03-07,14.31,30.88,0.0
66,2018-03-08,14.69,31.94,0.0
67,2018-03-09,14.88,33.31,0.0
68,2018-03-10,13.95,23.76,0.0
69,2018-03-11,13.92,21.88,0.25
70,2018-03-12,14.03,25.14,0.0
71,2018-03-13,15.87,25.39,0.01
72,2018-03-14,13.73,23.45,0.38
73,2018-03-15,12.32,29.52,1.48
74,2018-03-16,11.5,27.94,0.0
75,2018-03-17,11.26,28.57,0.0
76,2018-03-18,10.12,33.06,0.0
77,2018-03-19,13.31,32.38,0.0
78,2018-03-20,15.69,27.44,0.0
79,2018-03-21,13.29,20.95,1.15
80,2018-03-22,14.59,17.32,0.94
81,2018-03-23,14.32,26.45,0.06
