datetime,hour,weekday,dayOfMonth,month,year,total number of sessions,total minutes of parking,temperature,cloud_cover,pressure,windspeed,precipitation
2018-04-24 00:00:00,0,1,24,4,2018,0,0.0,24.0,30.0,985.82,19.0,0.0
2018-04-24 01:00:00,1,1,24,4,2018,0,0.0,25.0,30.0,985.49,17.0,0.0
2018-04-24 02:00:00,2,1,24,4,2018,0,0.0,20.0,30.0,985.82,15.0,0.0
2018-04-24 03:00:00,3,1,24,4,2018,0,0.0,17.0,29.0,986.48,17.0,0.0
2018-04-24 04:00:00,4,1,24,4,2018,0,0.0,16.0,29.0,987.14,9.0,0.0
2018-04-24 05:00:00,5,1,24,4,2018,0,0.0,16.0,29.0,987.47,9.0,0.0
2018-04-24 06:00:00,6,1,24,4,2018,0,0.0,15.0,29.0,987.8,9.0,0.0
2018-04-24 07:00:00,7,1,24,4,2018,0,0.0,15.0,29.0,987.8,7.0,0.0
2018-04-24 08:00:00,8,1,24,4,2018,0,0.0,14.0,29.0,988.13,7.0,0.0
2018-04-24 09:00:00,9,1,24,4,2018,0,0.0,14.0,33.0,987.47,0.0,0.0
2018-04-24 10:00:00,10,1,24,4,2018,0,0.0,13.0,33.0,987.14,6.0,0.0
2018-04-24 11:00:00,11,1,24,4,2018,0,0.0,13.0,33.0,986.81,0.0,0.0
2018-04-24 12:00:00,12,1,24,4,2018,0,0.0,13.0,33.0,986.48,0.0,0.0
2018-04-24 13:00:00,13,1,24,4,2018,0,0.0,13.0,34.0,987.47,6.0,0.0
2018-04-24 14:00:00,14,1,24,4,2018,0,0.0,12.0,34.0,988.13,9.0,0.0
2018-04-24 15:00:00,15,1,24,4,2018,0,0.0,13.0,30.0,988.13,9.0,0.0
2018-04-24 16:00:00,16,1,24,4,2018,0,0.0,14.0,21.0,987.8,6.0,0.0
2018-04-24 17:00:00,17,1,24,4,2018,0,0.0,17.0,30.0,988.13,6.0,0.0
2018-04-24 18:00:00,18,1,24,4,2018,0,0.0,21.0,34.0,988.45,7.0,0.0
2018-04-24 19:00:00,19,1,24,4,2018,0,0.0,23.0,30.0,988.13,20.0,0.0
2018-04-24 20:00:00,20,1,24,4,2018,0,0.0,24.0,34.0,987.8,20.0,0.0
2018-04-24 21:00:00,21,1,24,4,2018,0,0.0,24.0,34.0,987.47,11.0,0.0
2018-04-24 22:00:00,22,1,24,4,2018,0,0.0,24.0,34.0,987.14,17.0,0.0
2018-04-24 23:00:00,23,1,24,4,2018,0,0.0,24.0,34.0,986.81,20.0,0.0
2018-04-25 00:00:00,0,2,25,4,2018,0,0.0,24.0,34.0,986.81,15.0,0.0
2018-04-25 01:00:00,1,2,25,4,2018,0,0.0,24.0,30.0,986.48,17.0,0.0
2018-04-25 02:00:00,2,2,25,4,2018,0,0.0,21.0,30.0,986.81,13.0,0.0
2018-04-25 03:00:00,3,2,25,4,2018,0,0.0,19.0,29.0,987.14,11.0,0.0
2018-04-25 04:00:00,4,2,25,4,2018,0,0.0,18.0,29.0,987.47,7.0,0.0
2018-04-25 05:00:00,5,2,25,4,2018,0,0.0,18.0,29.0,987.8,15.0,0.0
2018-04-25 06:00:00,6,2,25,4,2018,0,0.0,17.0,33.0,988.45,9.0,0.0
2018-04-25 07:00:00,7,2,25,4,2018,0,0.0,16.0,33.0,988.78,13.0,0.0
2018-04-25 08:00:00,8,2,25,4,2018,0,0.0,15.0,33.0,988.78,13.0,0.0
2018-04-25 09:00:00,9,2,25,4,2018,0,0.0,14.0,29.0,988.78,7.0,0.0
2018-04-25 10:00:00,10,2,25,4,2018,0,0.0,13.0,29.0,989.11,9.0,0.0
2018-04-25 11:00:00,11,2,25,4,2018,0,0.0,12.0,26.0,989.11,11.0,0.0
2018-04-25 12:00:00,12,2,25,4,2018,0,0.0,12.0,27.0,989.11,6.0,0.0
2018-04-25 13:00:00,13,2,25,4,2018,0,0.0,12.0,28.0,989.11,9.0,0.0
2018-04-25 14:00:00,14,2,25,4,2018,0,0.0,12.0,20.0,989.44,7.0,0.0
2018-04-25 15:00:00,15,2,25,4,2018,0,0.0,12.0,26.0,990.1,6.0,0.0
2018-04-25 16:00:00,16,2,25,4,2018,0,0.0,14.0,21.0,990.1,6.0,0.0
2018-04-25 17:00:00,17,2,25,4,2018,0,0.0,17.0,21.0,990.1,6.0,0.0
2018-04-25 18:00:00,18,2,25,4,2018,0,0.0,20.0,34.0,990.1,7.0,0.0
2018-04-25 19:00:00,19,2,25,4,2018,0,0.0,22.0,34.0,990.1,13.0,0.0
2018-04-25 20:00:00,20,2,25,4,2018,0,0.0,22.0,34.0,989.44,19.0,0.0
2018-04-25 21:00:00,21,2,25,4,2018,0,0.0,23.0,34.0,988.78,15.0,0.0
2018-04-25 22:00:00,22,2,25,4,2018,0,0.0,24.0,34.0,988.45,15.0,0.0
2018-04-25 23:00:00,23,2,25,4,2018,0,0.0,24.0,34.0,987.8,13.0,0.0
2018-04-26 00:00:00,0,3,26,4,2018,0,0.0,24.0,34.0,987.47,17.0,0.0
2018-04-26 01:00:00,1,3,26,4,2018,0,0.0,23.0,34.0,987.47,13.0,0.0
2018-04-26 02:00:00,2,3,26,4,2018,0,0.0,21.0,34.0,987.47,13.0,0.0
2018-04-26 03:00:00,3,3,26,4,2018,0,0.0,19.0,33.0,987.8,15.0,0.0
2018-04-26 04:00:00,4,3,26,4,2018,0,0.0,17.0,33.0,988.13,15.0,0.0
2018-04-26 05:00:00,5,3,26,4,2018,0,0.0,16.0,33.0,988.45,9.0,0.0
2018-04-26 06:00:00,6,3,26,4,2018,0,0.0,15.0,33.0,988.78,13.0,0.0
2018-04-26 07:00:00,7,3,26,4,2018,0,0.0,14.0,33.0,988.78,9.0,0.0
2018-04-26 08:00:00,8,3,26,4,2018,0,0.0,13.0,29.0,988.78,13.0,0.0
2018-04-26 09:00:00,9,3,26,4,2018,0,0.0,13.0,33.0,988.13,11.0,0.0
2018-04-26 10:00:00,10,3,26,4,2018,0,0.0,12.0,33.0,987.47,0.0,0.0
2018-04-26 11:00:00,11,3,26,4,2018,0,0.0,12.0,33.0,987.14,9.0,0.0
2018-04-26 12:00:00,12,3,26,4,2018,0,0.0,12.0,26.0,987.47,6.0,0.0
2018-04-26 13:00:00,13,3,26,4,2018,0,0.0,12.0,26.0,987.8,0.0,0.0
2018-04-26 14:00:00,14,3,26,4,2018,0,0.0,12.0,26.0,988.13,0.0,0.0
2018-04-26 15:00:00,15,3,26,4,2018,0,0.0,12.0,26.0,988.45,7.0,0.0
2018-04-26 16:00:00,16,3,26,4,2018,0,0.0,13.0,26.0,988.78,7.0,0.0
